lvl_name,lvl_solved,actions_used,last_action_time (in seconds)
MAMulle,No.,297339.,90.000
MAAIstars,Yes.,331.,12.479
MAdeepChaos,Yes.,451.,6.371
SAMulle,No.,38024.,90.000
SAIIOO,Yes.,21.,3.078
MAaiaicapn,Yes.,1168.,4.597
SADeepPlan,Yes.,352.,2.528
MAKaren,No.,1890.,89.979
MAThreePO,Yes.,222.,0.535
SAChuligans,Yes.,216.,0.373
MAOptimalSolution,Yes.,5.,0.051
MAfootsteps,Yes.,577.,21.391
SAThreePO,Yes.,164.,0.349
SANeverAI,Yes.,391.,0.416
SABaguettes,No.,1523.,88.347
MANeverAI,Yes.,143.,0.667
MAaicecubes,Yes.,130.,0.175
MAaiaioh,Yes.,13.,0.022
MAMSecretA,Yes.,34.,0.073
SANicolAI,Yes.,130.,0.112
MANicolAI,No.,35468.,89.999
SAAIAIcapn,Yes.,933.,8.610
SAReftAI,No.,272.,84.025
SATrueGlue,Yes.,110.,0.151
SAdeepChaos,Yes.,521.,3.774
SATheZoo,No.,148.,0.269
SAFPHPOP,No.,290.,87.839
SAThree,Yes.,21.,0.061
MAThree,Yes.,67.,0.423
MAMAAIStro,Yes.,56.,0.031
MADeepPlan,No.,110748.,89.259
SAAIcaramba,No.,439496.,90.000
MAVAikings,Yes.,838.,17.456
MATheZoo,No.,4487.,89.964
SASokoBros,No.,160726.,90.000
MATrueGlue,Yes.,81.,0.351
SAKaren,Yes.,497.,16.615
MAFPHPOP,Yes.,282.,29.540
MADeepMinds,Yes.,53.,0.072
MACoronAI,Yes.,29.,0.127
SABoxAgents,No.,76199.,89.999
MABaguettes,Yes.,213.,12.175
SAaicecubes,Yes.,27.,0.009
MAHoldUd,Yes.,30.,0.169
SAHoldUd,No.,28800.,90.000
MAIIOO,No.,7285.,89.999
MAChuligans,Yes.,52.,0.123
MAGLaDOS,Yes.,430.,21.984
SAaiaioh,Yes.,11.,0.009
SAvAIkings,Yes.,2048.,2.478
MAReftAI,No.,4.,80.585
MABoxAgents,Yes.,191.,3.535
SAGLaDOS,No.,51.,88.454
MASokoBros,No.,1612.,89.970
SAfootsteps,Yes.,137.,1.460
SAMSecretA,Yes.,36.,0.034
SADeepMinds,No.,328551.,90.000
SACoronAI,Yes.,95.,0.226
SAAIstars,Yes.,41.,0.109
SAheav,Yes.,11.,0.005
