lvl_name,lvl_solved,actions_used,last_action_time (in seconds)
MAMulle,No.,19566.,89.997
MAAIstars,No.,459.,89.704
MAdeepChaos,Yes.,338.,3.736
SAMulle,No.,41202.,90.000
SAIIOO,Yes.,19.,1.408
MAaiaicapn,No.,427.,89.898
SADeepPlan,Yes.,345.,0.743
MAKaren,No.,1537.,89.955
MAThreePO,Yes.,70.,0.139
SAChuligans,Yes.,216.,0.332
MAOptimalSolution,Yes.,5.,0.047
MAfootsteps,No.,435.,89.906
SAThreePO,Yes.,163.,0.294
SANeverAI,Yes.,408.,1.069
SABaguettes,No.,1523.,86.217
MANeverAI,Yes.,130.,0.342
MAaicecubes,Yes.,64.,0.089
MAaiaioh,Yes.,14.,0.015
MAMSecretA,Yes.,34.,0.084
SANicolAI,Yes.,141.,0.107
MANicolAI,No.,2232.,89.973
SAAIAIcapn,No.,426.,89.769
SAReftAI,No.,40.,57.783
SATrueGlue,Yes.,112.,0.122
SAdeepChaos,Yes.,495.,3.418
SATheZoo,Yes.,204.,0.297
SAFPHPOP,No.,6149.,89.988
SAThree,Yes.,21.,0.046
MAThree,Yes.,89.,0.577
MAMAAIStro,Yes.,56.,0.038
MADeepPlan,No.,497.,89.873
SAAIcaramba,No.,2.,0.005
MAVAikings,No.,1807.,89.976
MATheZoo,Yes.,48.,0.884
SASokoBros,No.,5304.,89.998
MATrueGlue,Yes.,77.,0.276
SAKaren,Yes.,497.,12.810
MAFPHPOP,No.,1242.,89.928
MADeepMinds,No.,34160.,89.999
MACoronAI,Yes.,29.,0.084
SABoxAgents,No.,161973.,90.000
MABaguettes,Yes.,782.,20.749
SAaicecubes,Yes.,28.,0.011
MAHoldUd,Yes.,25.,0.140
SAHoldUd,No.,29.,83.434
MAIIOO,Yes.,49.,0.804
MAChuligans,Yes.,52.,0.117
MAGLaDOS,Yes.,245.,7.536
SAaiaioh,Yes.,11.,0.011
SAvAIkings,Yes.,2049.,1.890
MAReftAI,No.,8.,85.267
MABoxAgents,No.,2180.,89.977
SAGLaDOS,No.,2.,0.335
MASokoBros,No.,38936.,89.998
SAfootsteps,No.,198.,89.300
SAMSecretA,Yes.,36.,0.048
SADeepMinds,No.,68.,0.314
SACoronAI,No.,38530.,89.999
SAAIstars,Yes.,41.,0.099
SAheav,Yes.,11.,0.005
