lvl_name,lvl_solved,actions_used,last_action_time (in seconds)
MAMulle,Yes.,158.,0.548
MAAIstars,No.,713.,179.957
MAdeepChaos,Yes.,451.,5.618
SAMulle,No.,38196.,179.996
SAIIOO,Yes.,18.,1.573
MAaiaicapn,No.,476.,179.879
SADeepPlan,Yes.,337.,1.567
MAKaren,No.,46842.,178.919
MAThreePO,Yes.,221.,0.829
SAChuligans,Yes.,216.,0.333
MAOptimalSolution,Yes.,5.,0.044
MAfootsteps,No.,771.,179.840
SAThreePO,Yes.,164.,0.354
SANeverAI,Yes.,391.,0.405
SABaguettes,No.,2480.,179.819
MANeverAI,Yes.,147.,1.040
MAaicecubes,Yes.,130.,0.207
MAaiaioh,Yes.,13.,0.019
MAMSecretA,Yes.,34.,0.106
SANicolAI,Yes.,130.,0.114
MANicolAI,No.,3191.,179.933
SAAIAIcapn,Yes.,941.,35.085
SAReftAI,No.,47.,178.999
SATrueGlue,Yes.,110.,0.137
SAdeepChaos,Yes.,521.,5.104
SATheZoo,Yes.,203.,0.444
SAFPHPOP,No.,480.,178.420
SAThree,Yes.,21.,0.135
MAThree,No.,334928.,180.000
MAMAAIStro,Yes.,56.,0.037
MADeepPlan,No.,277.,179.903
SAAIcaramba,No.,79317.,180.000
MAVAikings,Yes.,866.,148.809
MATheZoo,No.,1284.,179.955
SASokoBros,No.,1225.,179.999
MATrueGlue,Yes.,74.,0.310
SAKaren,Yes.,497.,40.125
MAFPHPOP,No.,280.,179.146
MADeepMinds,No.,5581.,179.986
MACoronAI,Yes.,28.,0.092
SABoxAgents,No.,158077.,180.000
MABaguettes,Yes.,213.,12.790
SAaicecubes,Yes.,27.,0.012
MAHoldUd,Yes.,24.,0.119
SAHoldUd,No.,58.,177.699
MAIIOO,Yes.,51.,1.005
MAChuligans,Yes.,52.,0.126
MAGLaDOS,No.,33.,179.664
SAaiaioh,Yes.,11.,0.011
SAvAIkings,Yes.,2048.,2.696
MAReftAI,No.,4.,146.170
MABoxAgents,Yes.,197.,25.245
SAGLaDOS,No.,46.,179.404
MASokoBros,No.,923.,179.798
SAfootsteps,No.,9150.,179.995
SAMSecretA,Yes.,36.,0.048
SADeepMinds,No.,29450.,179.997
SACoronAI,No.,44155.,179.998
SAAIstars,Yes.,41.,0.118
SAheav,Yes.,11.,0.005
