lvl_name,lvl_solved,actions_used,last_action_time (in seconds)
MAMulle,No.,319215.,90.000
MAAIstars,Yes.,331.,11.011
MAdeepChaos,Yes.,451.,5.485
SAMulle,No.,42211.,89.999
SAIIOO,Yes.,21.,2.849
MAaiaicapn,Yes.,1168.,3.888
SADeepPlan,Yes.,352.,2.093
MAKaren,No.,2001.,89.893
MAThreePO,Yes.,222.,0.403
SAChuligans,Yes.,216.,0.325
MAOptimalSolution,Yes.,5.,0.044
MAfootsteps,Yes.,577.,20.947
SAThreePO,Yes.,164.,0.293
SANeverAI,Yes.,391.,0.358
SABaguettes,No.,1523.,86.990
MANeverAI,Yes.,143.,0.634
MAaicecubes,Yes.,130.,0.165
MAaiaioh,Yes.,13.,0.018
MAMSecretA,Yes.,34.,0.084
SANicolAI,Yes.,130.,0.098
MANicolAI,Yes.,87.,1.329
SAAIAIcapn,Yes.,933.,7.187
SAReftAI,No.,332.,86.766
SATrueGlue,Yes.,110.,0.117
SAdeepChaos,Yes.,521.,3.533
SATheZoo,No.,148.,0.283
SAFPHPOP,No.,382.,81.166
SAThree,Yes.,21.,0.042
MAThree,Yes.,67.,0.351
MAMAAIStro,Yes.,56.,0.032
MADeepPlan,No.,138112.,90.000
SAAIcaramba,No.,543401.,90.000
MAVAikings,Yes.,838.,13.381
MATheZoo,Yes.,56.,0.991
SASokoBros,No.,197851.,90.000
MATrueGlue,Yes.,81.,0.290
SAKaren,Yes.,497.,12.252
MAFPHPOP,Yes.,282.,22.080
MADeepMinds,Yes.,53.,0.062
MACoronAI,Yes.,29.,0.103
SABoxAgents,No.,105672.,90.000
MABaguettes,Yes.,213.,9.245
SAaicecubes,Yes.,27.,0.010
MAHoldUd,Yes.,30.,0.126
SAHoldUd,No.,53364.,90.000
MAIIOO,Yes.,54.,4.117
MAChuligans,Yes.,52.,0.103
MAGLaDOS,Yes.,430.,15.561
SAaiaioh,Yes.,11.,0.010
SAvAIkings,Yes.,2048.,1.993
MAReftAI,No.,4.,56.443
MABoxAgents,Yes.,191.,2.702
SAGLaDOS,No.,63.,89.802
MASokoBros,No.,1873.,89.962
SAfootsteps,Yes.,137.,1.210
SAMSecretA,Yes.,36.,0.044
SADeepMinds,No.,452339.,90.000
SACoronAI,Yes.,95.,0.166
SAAIstars,Yes.,41.,0.084
SAheav,Yes.,11.,0.006
