#domain
hospital
#levelname
MATheZoo
#colors
blue: 0, 4, A
green: 1, 2, B
purple: 3, 8, C
orange: 5, D
pink: 6, 9, Y, X
red: 7
#initial
++++++++++++++++++++++++++
+0       ++1 + + 6       +
+        +  ++B+        X+
+        ++ ++ +        Y+
+              + 9       +
+++++++++++ ++++++++++++++
++++++D++++ +++++++ C  +++
++++++ ++++ +++++++ ++ +++
+4A       + +2 C+C+ ++   +
+         +A+   +      + +
+A        +++B 3+ + +    +
+A        +8+++++ + +    +
+5A       +        7    ++
++++++++++++++++++++++++++
#goal
++++++++++++++++++++++++++
+0       ++ A+B+        X+
+        + 1++ +6        +
+        ++ ++ +9        +
+              +        Y+
+++++++++++ ++++++++++++++
++++++ ++++ +++++++    +++
++++++ ++++ +++++++ ++ +++
+4  A     + +C 3+7+ ++  8+
+   A     + +   +      + +
+        D+++2 B+ + +    +
+   A     + +++++ + +    +
+5  A     +C            ++
++++++++++++++++++++++++++
#end
#clientname
vAIkings
#actions
199803902:Move(S);NoOp;Move(S);Move(N);Push(E,E);NoOp;Move(S);NoOp;Move(S);NoOp
273444029:Move(S);NoOp;Push(S,E);Push(N,W);Push(E,E);NoOp;Move(E);Move(N);Move(E);Move(N)
327165230:Move(S);NoOp;Push(E,E);Push(W,W);Move(S);NoOp;Move(E);Move(N);Move(E);Move(E)
355833892:Move(E);NoOp;Move(W);Move(E);Move(S);NoOp;Move(E);Move(N);Move(E);Move(E)
382114190:Move(E);NoOp;NoOp;NoOp;Move(W);NoOp;Move(E);Move(W);Move(E);Move(E)
409320094:Move(E);NoOp;NoOp;NoOp;Push(W,N);NoOp;Move(E);NoOp;Move(E);Move(E)
437095353:Move(E);NoOp;NoOp;NoOp;Push(N,E);NoOp;Move(E);Move(W);Move(E);Move(E)
464018729:Move(E);NoOp;NoOp;NoOp;Push(E,E);NoOp;Push(E,N);NoOp;Move(N);Move(E)
490784947:Move(E);NoOp;NoOp;NoOp;Push(E,E);NoOp;NoOp;NoOp;Move(N);Push(E,S)
610377298:NoOp;NoOp;NoOp;NoOp;Move(S);NoOp;Move(W);NoOp;NoOp;Move(W)
642596218:NoOp;NoOp;NoOp;NoOp;Move(S);NoOp;Move(W);Move(E);Move(S);Move(W)
670416749:NoOp;NoOp;NoOp;NoOp;Move(W);NoOp;Move(W);NoOp;Move(S);Move(W)
676182267:NoOp;NoOp;NoOp;NoOp;Pull(E,W);NoOp;Move(W);Move(W);Move(W);Move(W)
678609677:NoOp;NoOp;NoOp;NoOp;Pull(N,W);Move(N);Move(W);NoOp;NoOp;Move(W)
728828121:NoOp;NoOp;NoOp;NoOp;Push(S,E);Move(N);Move(W);NoOp;NoOp;Move(W)
744702393:NoOp;NoOp;NoOp;NoOp;Move(S);Move(N);Move(W);Move(E);NoOp;Move(W)
749427458:NoOp;NoOp;NoOp;NoOp;Pull(E,W);Move(N);Move(W);NoOp;NoOp;Move(W)
788051811:NoOp;NoOp;NoOp;NoOp;NoOp;Move(E);NoOp;Move(W);Move(E);NoOp
795159815:NoOp;NoOp;NoOp;NoOp;Pull(E,W);Move(E);NoOp;NoOp;Move(N);NoOp
879040132:NoOp;NoOp;NoOp;NoOp;Move(N);Move(S);NoOp;NoOp;Move(N);NoOp
905981657:NoOp;NoOp;NoOp;NoOp;Move(N);Move(S);NoOp;NoOp;NoOp;NoOp
912980983:NoOp;NoOp;NoOp;NoOp;Move(W);NoOp;NoOp;Move(E);Move(S);NoOp
1000395248:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(S);NoOp
1095770119:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(W);Move(W);NoOp
1187116743:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp
1337711870:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp
1431047305:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(E);NoOp;NoOp
1523976464:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp
1650212908:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(W);Move(E);NoOp
1741770921:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(N);NoOp
1834390335:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(N);NoOp
1960510539:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp
2054820922:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(E);Move(S);NoOp
2149266351:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(S);NoOp
2249637381:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(W);Move(W);NoOp
2343420180:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp
2484224246:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp
2578832586:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(E);NoOp;NoOp
2670644523:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp
2793857218:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(W);Move(E);NoOp
2885697197:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(N);NoOp
2977961192:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(N);NoOp
3093306611:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp
3188151961:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(E);Move(S);NoOp
3285241941:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(S);NoOp
3382967611:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(W);Move(W);NoOp
3475059811:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp
3615899443:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp
3712696678:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(E);NoOp;NoOp
3804196132:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp
3930444785:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(W);Move(E);NoOp
4022561028:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(N);NoOp
4115355885:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(N);NoOp
4232555912:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp
4332139975:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(E);Move(S);NoOp
4427293559:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(S);NoOp
4523537055:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(W);Move(W);NoOp
4616143176:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp
4758384370:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp
4852563538:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(E);NoOp;NoOp
4949338837:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp
5073418757:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(W);Move(E);NoOp
5166604614:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(N);NoOp
5261583995:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;Move(N);NoOp
5381416349:NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp;NoOp
