lvl_name,lvl_solved,actions_used,last_action_time (in seconds)
MAMulle,No.,46275.,89.995
MAAIstars,Yes.,460.,45.876
MAdeepChaos,Yes.,451.,8.961
SAMulle,No.,26845.,89.998
SAIIOO,Yes.,21.,4.790
MAaiaicapn,No.,442.,89.603
SADeepPlan,Yes.,352.,3.820
MAKaren,No.,527.,89.989
MAThreePO,Yes.,222.,0.581
SAChuligans,Yes.,216.,0.510
MAOptimalSolution,Yes.,5.,0.096
MAfootsteps,Yes.,599.,20.104
SAThreePO,Yes.,164.,0.493
SANeverAI,Yes.,391.,0.596
SABaguettes,No.,1001.,88.797
MANeverAI,Yes.,143.,1.257
MAaicecubes,Yes.,130.,0.266
MAaiaioh,Yes.,13.,0.036
MAMSecretA,Yes.,34.,0.115
SANicolAI,Yes.,130.,0.194
MANicolAI,No.,23934.,89.998
SAAIAIcapn,Yes.,933.,10.403
SAReftAI,No.,67.,86.537
SATrueGlue,Yes.,110.,0.126
SAdeepChaos,Yes.,521.,3.468
SATheZoo,No.,148.,0.250
SAFPHPOP,No.,382.,86.201
SAThree,Yes.,21.,0.050
MAThree,Yes.,84.,0.635
MAMAAIStro,Yes.,56.,0.035
MADeepPlan,No.,106043.,90.000
SAAIcaramba,No.,545454.,90.000
MAVAikings,Yes.,838.,14.264
MATheZoo,No.,5902.,89.991
SASokoBros,No.,7666.,89.996
MATrueGlue,Yes.,81.,0.320
SAKaren,Yes.,497.,12.663
MAFPHPOP,Yes.,248.,34.518
MADeepMinds,Yes.,54.,0.074
MACoronAI,Yes.,29.,0.120
SABoxAgents,No.,1211.,89.940
MABaguettes,Yes.,782.,18.172
SAaicecubes,Yes.,27.,0.009
MAHoldUd,Yes.,38.,0.161
SAHoldUd,No.,93.,89.317
MAIIOO,No.,9983.,89.996
MAChuligans,Yes.,52.,0.112
MAGLaDOS,No.,48.,89.560
SAaiaioh,Yes.,11.,0.012
SAvAIkings,Yes.,2048.,2.161
MAReftAI,No.,4.,57.131
MABoxAgents,Yes.,146.,3.303
SAGLaDOS,No.,61.,89.953
MASokoBros,No.,4423.,89.986
SAfootsteps,No.,174664.,90.000
SAMSecretA,Yes.,36.,0.031
SADeepMinds,No.,11622.,89.994
SACoronAI,Yes.,95.,0.172
SAAIstars,Yes.,41.,0.089
SAheav,Yes.,11.,0.005
